"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2020","5,886.7","6,177.3","6,394.3","5,800.0","0.06K","-4.70%"
"03/21/2020","6,177.3","6,223.9","10,155.4","5,890.3","0.07K","-0.75%"
"03/20/2020","6,223.9","6,159.9","6,971.8","5,706.8","0.07K","1.04%"
"03/19/2020","6,159.9","5,388.2","6,391.1","5,267.6","0.06K","14.32%"
"03/18/2020","5,388.2","5,352.5","5,442.3","5,016.1","0.05K","0.67%"
"03/17/2020","5,352.5","5,025.5","5,571.3","4,944.6","0.06K","6.51%"
"03/16/2020","5,025.5","5,388.2","5,418.5","4,456.2","0.08K","-6.73%"
"03/15/2020","5,388.2","5,164.8","5,921.5","5,103.8","0.07K","2.64%"
"03/14/2020","5,249.6","5,593.7","5,625.7","5,060.3","0.06K","-6.15%"
"03/13/2020","5,593.7","4,931.7","5,938.8","3,772.4","0.26K","13.42%"
"03/12/2020","4,931.7","7,940.9","7,960.8","4,454.5","0.28K","-37.89%"
"03/11/2020","7,940.9","7,887.2","7,966.0","7,584.6","0.05K","0.68%"
"03/10/2020","7,887.2","7,899.4","8,157.0","7,687.3","0.06K","-0.15%"
"03/09/2020","7,899.4","8,020.5","8,268.9","7,600.0","0.04K","-1.51%"
"03/08/2020","8,020.5","8,890.3","8,890.3","8,002.9","0.04K","-9.78%"
"03/07/2020","8,890.3","9,120.0","9,207.3","8,829.9","0.04K","-2.52%"
"03/06/2020","9,120.0","9,048.5","9,160.0","8,940.0","0.04K","0.79%"
"03/05/2020","9,048.5","8,758.8","9,152.2","8,747.8","0.04K","3.31%"
"03/04/2020","8,758.8","8,715.6","8,837.7","8,600.0","0.04K","0.54%"
"03/03/2020","8,711.6","8,894.1","8,935.4","8,660.0","0.04K","-2.05%"
"03/02/2020","8,894.1","8,553.1","8,990.8","8,495.8","0.04K","3.99%"
"03/01/2020","8,553.1","8,545.0","8,728.6","8,417.0","0.03K","0.10%"
"02/29/2020","8,545.0","8,686.4","8,794.4","8,545.0","0.03K","-1.63%"
"02/28/2020","8,686.4","8,804.1","8,889.7","8,419.2","0.04K","-1.34%"
"02/27/2020","8,804.1","8,788.2","9,014.3","8,531.5","0.04K","0.18%"
"02/26/2020","8,788.2","9,328.2","9,378.5","8,623.1","0.06K","-5.79%"
